model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9875,0.9803921568627451,1.0,0.9900990099009901,1.0
Random Forest,0.9875,0.9803921568627451,1.0,0.9900990099009901,0.9966666666666666
SVM,0.9875,0.9803921568627451,1.0,0.9900990099009901,1.0
